category,train_mean,train_std,threshold,image_AUROC,accuracy,n_test
bottle,0.05699018529798996,0.016726331066891153,0.10716917849866342,1.0,1.0,83
cable,0.10825002998379725,0.012219127583268905,0.14490741273360397,0.9576461769115443,0.88,150
capsule,0.0531197450204527,0.011687031663453761,0.08818084001081397,0.934982050259274,0.7424242424242424,132
carpet,0.03656815752786185,0.00731599849061626,0.05851615299971063,0.9742063492063492,0.940677966101695,118
grid,0.06929545550409591,0.007374157630681265,0.09141792839613971,0.9741019214703426,0.9487179487179487,78
hazelnut,0.09247936489408279,0.013449898469020345,0.13282906030114383,1.0,1.0,110
leather,0.034240513659861624,0.005330368494778985,0.05023161914419858,1.0,0.9758064516129032,124
metal_nut,0.081728891689669,0.010479035219988973,0.11316599734963592,1.0,1.0,115
pill,0.06066078756855668,0.010564417725680557,0.09235404074559836,0.9623567921440263,0.7964071856287425,167
screw,0.07626367146149278,0.01061509291297066,0.10810895020040476,0.8466898954703833,0.625,160
tile,0.05116049827116987,0.013139190367529675,0.0905780693737589,1.0,1.0,117
toothbrush,0.09780342876911163,0.010180699725494364,0.12834552794559473,0.9361111111111111,0.8333333333333334,42
transistor,0.08945830194323276,0.011488099509603179,0.12392260047204229,0.96875,0.94,100
wood,0.050232072862295,0.015317586437300983,0.09618483217419796,0.9859649122807018,0.9493670886075949,79
zipper,0.0380156220557789,0.009354800602897746,0.06608002386447213,0.9692752100840336,0.9403973509933775,151
